personid	firstname	lastname	id	id	companyname	companyname
41	John F.	Smith, Jr.	31	3	Procter and Gamble	General Motors
43	Lloyd D.	Ward	12	3	J.P. Morgan Chase	General Motors
49	Irvine O.	Hockaday, Jr.	60	4	Utilicorp	Ford Motor
49	Irvine O.	Hockaday, Jr.	75	4	Sprint	Ford Motor
55	Carl E.	Reichardt	35	4	McKesson HBOC	Ford Motor
55	Carl E.	Reichardt	68	4	ConAgra	Ford Motor
55	Carl E.	Reichardt	82	4	PG*E Corp.	Ford Motor
56	Robert E.	Rubin	6	4	Citigroup	Ford Motor
57	John L.	Thornton	42	4	Goldman Sachs Group	Ford Motor
62	Ann M.	Fudge	71	5	Honeywell International	General Electric
66	 Kenneth G.	Langone	23	5	Home Depot	General Electric
70	Sam	Nunn	16	5	Texaco	General Electric
70	Sam	Nunn	48	5	Dell Computer	General Electric
70	Sam	Nunn	93	5	Coca-Cola	General Electric
71	Roger S.	Penske	57	5	Delphi Automotive Systems	General Electric
73	Andrew C.	Sigler	71	5	Honeywell International	General Electric
74	Douglas A.	Warner III	12	5	J.P. Morgan Chase	General Electric
77	C. Michael	Armstrong	9	6	AT*T	Citigroup
78	Alain J.P.	Belda	56	6	E.I. du Pont de Nemours	Citigroup
78	Alain J.P.	Belda	77	6	Alcoa	Citigroup
79	Kenneth J.	Bialkin	79	6	Microsoft	Citigroup
80	Kenneth T.	Derr	9	6	AT*T	Citigroup
91	Franklin A.	Thomas	28	6	Lucent Technologies	Citigroup
91	Franklin A.	Thomas	44	6	Conoco	Citigroup
91	Franklin A.	Thomas	77	6	Alcoa	Citigroup
91	Franklin A.	Thomas	94	6	PepsiCo	Citigroup
92	Sanford I.	Weill	9	6	AT*T	Citigroup
56	Robert E.	Rubin	4	6	Ford Motor	Citigroup
94	Kenneth L.	Lay	27	7	Compaq Computer	Enron
98	Ronnie C.	Chan	34	7	Motorola	Enron
100	Wendy L.	Gramm	21	7	State Farm Insurance Cos.	Enron
108	Frank	Savage	69	7	Lockheed Martin	Enron
112	Louis V.	Gerstner, Jr.	88	8	Bristol-Myers Squibb	Intl. Business Machines
115	Cathleen	Black	93	8	Coca-Cola	Intl. Business Machines
116	Kenneth I.	Chenault	74	8	American Express	Intl. Business Machines
119	Charles F.	Knight	14	8	SBC Communications	Intl. Business Machines
119	Charles F.	Knight	24	8	Morgan Stanley Dean Witter	Intl. Business Machines
121	Lucio A.	Noto	11	8	Philip Morris	Intl. Business Machines
126	Charles M.	Vest	56	8	E.I. du Pont de Nemours	Intl. Business Machines
129	John D.	Zeglis	84	9	Georgia-Pacific	AT*T
129	John D.	Zeglis	96	9	Sara Lee	AT*T
137	Donald F.	McHenry	61	9	International Paper	AT*T
137	Donald F.	McHenry	81	9	FleetBoston Financial	AT*T
137	Donald F.	McHenry	93	9	Coca-Cola	AT*T
92	Sanford I.	Weill	6	9	Citigroup	AT*T
77	C. Michael	Armstrong	6	9	Citigroup	AT*T
80	Kenneth T.	Derr	6	9	Citigroup	AT*T
35	George M.C.	Fisher	3	9	General Motors	AT*T
4	Donald V.	Fites	1	9	Exxon-Mobil	AT*T
4	Donald V.	Fites	84	9	Georgia-Pacific	AT*T
4	Donald V.	Fites	99	9	Caterpillar	AT*T
150	Joseph	Neubauer	73	10	First Union Corp.	Verizon Communications
152	Russell E.	Palmer	50	10	Freddie Mac	Verizon Communications
152	Russell E.	Palmer	71	10	Honeywell International	Verizon Communications
153	Hugh B.	Price	29	10	Sears Roebuck	Verizon Communications
153	Hugh B.	Price	47	10	MetLife	Verizon Communications
155	John W.	Snow	39	10	USX	Verizon Communications
156	John R.	Stafford	12	10	J.P. Morgan Chase	Verizon Communications
156	John R.	Stafford	71	10	Honeywell International	Verizon Communications
157	Robert D.	Storey	31	10	Procter and Gamble	Verizon Communications
9	Helene L.	Kaplan	1	10	Exxon-Mobil	Verizon Communications
9	Helene L.	Kaplan	12	10	J.P. Morgan Chase	Verizon Communications
9	Helene L.	Kaplan	47	10	MetLife	Verizon Communications
16	Walter V.	Shipley	1	10	Exxon-Mobil	Verizon Communications
161	Jane	Evans	84	11	Georgia-Pacific	Philip Morris
169	Carlos Slim	Helu	14	11	SBC Communications	Philip Morris
121	Lucio A.	Noto	8	11	Intl. Business Machines	Philip Morris
172	William B.	Harrison, Jr.	30	12	Merck	J.P. Morgan Chase
173	Hans W.	Becherer	71	12	Honeywell International	J.P. Morgan Chase
176	Lawrence A.	Bossidy	30	12	Merck	J.P. Morgan Chase
178	H. Laurance	Fuller	34	12	Motorola	J.P. Morgan Chase
179	Ellen V.	Futter	22	12	American International Group	J.P. Morgan Chase
179	Ellen V.	Futter	88	12	Bristol-Myers Squibb	J.P. Morgan Chase
180	William H.	Gray III	48	12	Dell Computer	J.P. Morgan Chase
180	William H.	Gray III	80	12	Prudential Ins. Co. of America	J.P. Morgan Chase
185	Marina V.	Whitman	31	12	Procter and Gamble	J.P. Morgan Chase
185	Marina V.	Whitman	77	12	Alcoa	J.P. Morgan Chase
9	Helene L.	Kaplan	1	12	Exxon-Mobil	J.P. Morgan Chase
9	Helene L.	Kaplan	10	12	Verizon Communications	J.P. Morgan Chase
9	Helene L.	Kaplan	47	12	MetLife	J.P. Morgan Chase
1	Lee R.	Raymond	1	12	Exxon-Mobil	J.P. Morgan Chase
156	John R.	Stafford	10	12	Verizon Communications	J.P. Morgan Chase
156	John R.	Stafford	71	12	Honeywell International	J.P. Morgan Chase
43	Lloyd D.	Ward	3	12	General Motors	J.P. Morgan Chase
74	Douglas A.	Warner III	5	12	General Electric	J.P. Morgan Chase
188	Charles W.	Coker	96	13	Sara Lee	Bank of America Corp.
190	Kathleen F.	Feldstein, Ph.D.	66	13	BellSouth	Bank of America Corp.
195	Walter E.	Massey, Ph.D.	34	13	Motorola	Bank of America Corp.
199	Solomon D.	Trujillo	37	13	Target	Bank of America Corp.
199	Solomon D.	Trujillo	94	13	PepsiCo	Bank of America Corp.
212	James A.	Henderson	61	14	International Paper	SBC Communications
215	Lynn M.	Martin	31	14	Procter and Gamble	SBC Communications
216	John B.	McCoy	50	14	Freddie Mac	SBC Communications
216	John B.	McCoy	51	14	Cardinal Health	SBC Communications
217	Mary S.	Metz	82	14	PG*E Corp.	SBC Communications
221	Laura D.	Tyson	24	14	Morgan Stanley Dean Witter	SBC Communications
5	Jess	Hay	1	14	Exxon-Mobil	SBC Communications
169	Carlos Slim	Helu	11	14	Philip Morris	SBC Communications
119	Charles F.	Knight	8	14	Intl. Business Machines	SBC Communications
119	Charles F.	Knight	24	14	Morgan Stanley Dean Witter	SBC Communications
223	Philip M.	Condit	19	15	Hewlett-Packard	The Boeing Company
226	Kenneth M.	Duberstein	26	15	Fannie Mae	The Boeing Company
226	Kenneth M.	Duberstein	44	15	Conoco	The Boeing Company
227	John B.	Fery	38	15	Albertsons	The Boeing Company
231	Rozanne L.	Ridgway	96	15	Sara Lee	The Boeing Company
237	Robert J.	Eaton	61	16	International Paper	Texaco
242	Charles R.	Shoemate	61	16	International Paper	Texaco
243	Robin B.	Smith	36	16	Kmart	Texaco
243	Robin B.	Smith	66	16	BellSouth	Texaco
244	William C.	Steere, Jr.	47	16	MetLife	Texaco
70	Sam	Nunn	5	16	General Electric	Texaco
70	Sam	Nunn	48	16	Dell Computer	Texaco
70	Sam	Nunn	93	16	Coca-Cola	Texaco
247	G. Alex	Bernhardt, Sr.	73	17	First Union Corp.	Duke Energy
248	Robert J.	Brown	73	17	First Union Corp.	Duke Energy
248	Robert J.	Brown	83	17	AutoNation	Duke Energy
253	George D.	Johnson, Jr.	83	17	AutoNation	Duke Energy
3	William T.	Esrey	1	17	Exxon-Mobil	Duke Energy
3	William T.	Esrey	75	17	Sprint	Duke Energy
261	Reuben V.	Anderson	66	18	BellSouth	Kroger Company
263	John L.	Clendenin	23	18	Home Depot	Kroger Company
265	Bruce	Karatz	71	18	Honeywell International	Kroger Company
267	Edward M.	Liddy	59	18	Allstate	Kroger Company
276	Carleton S.	Fiorina	30	19	Merck	Hewlett-Packard
280	Sam	Ginn	20	19	Chevron	Hewlett-Packard
223	Philip M.	Condit	15	19	The Boeing Company	Hewlett-Packard
286	Richard H.	Matzke	54	20	Dynegy	Chevron
288	Carla A.	Hills	22	20	American International Group	Chevron
288	Carla A.	Hills	28	20	Lucent Technologies	Chevron
292	Chang-Lin	Tien	62	20	Wells Fargo	Chevron
294	John A.	Young	28	20	Lucent Technologies	Chevron
